price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,basement,Renovated,age_when_sold,distance_from_seattle_km,distance_from_nearest_hotspot
221900.0,3,1.0,1180,5650,1.0,0,3,7,1180,1955,0,98178,0,0,59,11.976445604063855,14.337547692464764
538000.0,3,2.25,2570,7242,2.0,0,3,7,2170,1951,1991,98125,1,1,63,12.806838220672994,9.862944735908124
180000.0,2,1.0,770,10000,1.0,0,3,6,770,1933,0,98028,0,0,82,16.42211404455507,10.084825783538706
604000.0,4,3.0,1960,5000,1.0,0,5,7,1050,1965,0,98136,1,0,49,10.541541284708966,9.889622277176398
510000.0,3,2.0,1680,8080,1.0,0,3,8,1680,1987,0,98074,0,0,28,21.560745366375944,4.665083236595326
257500.0,3,2.25,1715,6819,2.0,0,3,7,1715,1995,0,98003,0,0,19,32.98187578277268,13.101409952502296
291850.0,3,1.5,1060,9711,1.0,0,3,7,1060,1963,0,98198,0,0,52,21.91659940625028,5.801136575718849
229500.0,3,1.0,1780,7470,1.0,0,3,7,1050,1960,0,98146,1,0,55,10.4509552744526,11.104555837330151
323000.0,3,2.5,1890,6560,2.0,0,3,7,1890,2003,0,98038,0,0,12,34.811262883156125,25.396683249891822
662500.0,3,2.5,3560,9796,1.0,0,3,8,1860,1965,0,98007,1,0,50,14.045376212156357,3.808688479184726
468000.0,2,1.0,1160,6000,1.0,0,4,7,860,1942,0,98115,1,0,72,9.793425874806452,5.880741892949789
310000.0,3,1.0,1430,19901,1.5,0,4,7,1430,1927,0,98028,0,0,87,18.343918643152154,12.095261294219206
400000.0,3,1.75,1370,9680,1.0,0,4,7,1370,1977,0,98074,0,0,37,21.541464065838774,4.416655957718848
530000.0,5,2.0,1810,4850,1.5,0,3,7,1810,1900,0,98107,0,0,115,8.478364046615376,6.731378428547825
650000.0,4,3.0,2950,5000,2.0,3,3,9,1980,1979,0,98126,1,0,36,5.033936600865878,4.632420464497916
395000.0,3,2.0,1890,14040,2.0,0,3,7,1890,1994,0,98019,0,0,20,30.841467006144413,18.068646736675102
485000.0,4,1.0,1600,4300,1.5,0,4,7,1600,1916,0,98103,0,0,98,6.569068255572044,7.462829446195936
189000.0,2,1.0,1200,9850,1.0,0,4,7,1200,1921,0,98002,0,0,93,34.319901734027034,18.33390944214423
230000.0,3,1.0,1250,9774,1.0,0,4,7,1250,1969,0,98003,0,0,46,30.306992308682762,11.405685518205871
385000.0,4,1.75,1620,4980,1.0,0,4,7,860,1947,0,98133,1,0,67,10.732169207523013,9.42744335079843
285000.0,5,2.5,2270,6300,2.0,0,3,8,2270,1995,0,98092,0,0,19,33.43065334314639,19.626755888425635
252700.0,2,1.5,1070,9643,1.0,0,3,7,1070,1985,0,98030,0,0,29,30.776784674231187,18.44558132235176
329000.0,3,2.25,2450,6500,2.0,0,4,8,2450,1985,0,98030,0,0,29,28.503209274357786,17.223633870461477
233000.0,3,2.0,1710,4697,1.5,0,5,6,1710,1941,0,98002,0,0,73,34.6055376343295,18.20730697892995
937000.0,3,1.75,2450,2691,2.0,0,3,8,1750,1915,0,98119,1,0,99,4.166870926174118,4.383866542994276
667000.0,3,1.0,1400,1581,1.5,0,5,8,1400,1909,0,98112,0,0,105,2.2292865987389594,5.891878299571828
438000.0,3,1.75,1520,6380,1.0,0,3,7,790,1948,0,98115,1,0,66,10.099134782004654,6.8745561209351305
719000.0,4,2.5,2570,7173,2.0,0,3,8,2570,2005,0,98052,0,0,10,20.08348180877637,12.102300843509004
580500.0,3,2.5,2320,3980,2.0,0,3,8,2320,2003,0,98027,0,0,11,21.036899552047284,6.245004496931228
280000.0,2,1.5,1190,1265,3.0,0,3,7,1190,2005,0,98133,0,0,9,13.609472668604337,12.206107539570045
687500.0,4,1.75,2330,5000,1.5,0,4,7,1510,1929,0,98117,1,0,85,8.881839261324465,8.425996640311846
535000.0,3,1.0,1090,3000,1.5,0,4,8,1090,1929,0,98117,0,0,85,9.744249398963724,9.011077597305322
322500.0,4,2.75,2060,6659,1.0,0,3,7,1280,1981,0,98058,1,0,33,23.82573156944132,17.611367800795282
696000.0,3,2.5,2300,3060,1.5,0,3,8,1510,1930,2002,98115,1,1,84,8.668754405648734,6.235196380449425
640000.0,4,2.0,2360,6000,2.0,0,4,8,2360,1904,0,98107,0,0,110,7.463097452288664,7.3058553316797195
240000.0,4,1.0,1220,8075,1.0,0,2,7,890,1969,0,98001,1,0,46,30.499156782112266,12.523764088616547
605000.0,4,2.5,2620,7553,2.0,0,3,8,2620,1996,0,98056,0,0,18,14.21082323682115,9.39200369363843
625000.0,4,2.5,2570,5520,2.0,0,3,9,2570,2000,0,98074,0,0,14,22.89735260265874,5.703909637058794
775000.0,4,2.25,4220,24186,1.0,0,3,8,2600,1984,0,98166,1,0,30,17.965140492953182,4.356984558427493
861990.0,5,2.75,3595,5639,2.0,0,3,9,3595,2014,0,98053,0,0,0,25.249536081135055,11.877769125199451
685000.0,3,1.0,1570,2280,2.0,0,3,7,1570,1922,0,98119,0,0,92,4.578402279784037,4.422106028199564
309000.0,3,1.0,1280,9656,1.0,0,4,6,920,1959,0,98058,1,0,55,21.140166382178116,16.551141523290674
488000.0,3,2.5,3160,13603,2.0,0,3,8,3160,2003,0,98019,0,0,11,30.71238303012946,19.082587316040907
210490.0,3,1.0,990,8528,1.0,0,3,6,990,1966,0,98023,0,0,49,33.45263123472196,12.623163798468239
785000.0,4,2.5,2290,13416,2.0,0,4,9,2290,1981,0,98007,0,0,33,13.65877595977874,5.113860100032606
450000.0,3,1.75,1250,5963,1.0,0,4,7,1250,1953,0,98115,0,0,62,8.490424015614055,5.495863660619409
228000.0,3,1.0,1190,9199,1.0,0,3,7,1190,1955,0,98148,0,0,59,20.080201699068876,5.220433492487851
345000.0,5,2.5,3150,9134,1.0,0,4,8,1640,1966,0,98056,1,0,49,16.517734486915923,13.060584720220922
600000.0,3,1.75,1410,4080,1.0,0,4,7,1000,1950,0,98117,1,0,64,9.164057990475728,8.005380855069777
585000.0,2,1.75,1980,8550,1.0,0,3,7,990,1981,0,98117,1,0,34,10.67525255742585,10.193990829643868
